index,rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate,act_present_val,act_profit,opt_eir,opt_obj,solve_time
188,5,-1,24,0.42,35,-1.0,1.0,49.176873844481136,14.176873844481136,0.3594,2.0755,60.0
189,6,-1,36,0.385,21,-1.0,1.0,32.608463934288096,11.608463934288096,0.392,0.9637,60.0
190,6,-1,36,0.38,30,-1.0,1.0,46.29878317421169,16.298783174211692,0.3917,1.3865,60.0
191,5,-1,12,0.41,23,-1.0,1.0,27.519122590262164,4.519122590262164,0.3587,1.3924,59.0
192,6,-1,36,0.38,20,-1.0,1.0,30.865855449474466,10.865855449474466,0.3959,0.8884,60.0
193,3,-1,36,0.24,70,-1.0,1.0,90.27366143984653,20.273661439846535,0.3131,6.3497,60.0
194,5,8,48,0.4,60,1.0,0.0,17.311704626016322,-42.68829537398368,0.3559,3.7446,60.0
195,6,6,24,0.35,50,1.0,0.0,14.412744674674887,-35.58725532532512,0.3892,2.2463,60.0
196,5,-1,24,0.405,20,-1.0,1.0,27.73340948426022,7.733409484260221,0.352,1.3049,60.0
197,6,12,12,0.335,20,1.0,0.0,21.186806073672873,1.186806073672873,0.3928,0.9006,60.0
198,4,-1,12,0.38,15,-1.0,1.0,17.68358264739483,2.6835826473948288,0.3356,1.1111,60.0
